Date,Open,High,Low,Close,Volume
2024-10-21,232.5050454306036,234.88514457730523,232.5050454306036,234.51820373535156,36254500
2024-10-22,231.94972262812325,234.26039550788073,230.67043071443962,233.90338134765625,38846600
2024-10-23,232.13809162252886,233.18929552056238,225.87051460694332,228.8456268310547,52287000
2024-10-24,228.0721096303277,228.9051525928802,226.5151420282862,228.6572265625,31109500
2024-10-25,227.83413589840254,231.28526239164006,227.6655479946858,229.4902801513672,38802300
2024-10-28,231.38442210065006,232.78271346714027,230.62080565968694,231.4637451171875,36087100
2024-10-29,231.1662580738538,232.38605001867157,230.3927299983884,231.7315216064453,35417200
2024-10-30,230.68031899274527,231.53318522639518,227.64570650368097,228.19114685058594,47070900
2024-10-31,227.43744214117888,227.92338265648337,223.50037517792762,224.03590393066406,64370100
2024-11-01,219.1368672842602,223.4805363045207,218.44267740554844,221.06077575683594,65276700
2024-11-04,219.15670083339904,220.94175615916865,217.88732075932978,220.16822814941406,44944500
2024-11-05,219.9600075033543,222.0921656056809,219.30547906118858,221.5963134765625,28111300
2024-11-06,220.76327216240406,224.19457534628128,219.35505401685137,220.8723602294922,54561100
2024-11-07,222.76654726221693,225.98958631695007,222.70704742389805,225.5928955078125,42137700
2024-11-08,225.53330763226646,227.01257809039103,224.77878865400953,225.3248291015625,38328800
2024-11-11,223.3789126974454,224.07386628495595,219.9041296110407,222.6144561767578,42005600
2024-11-12,222.93215790182094,223.964658210572,221.750729228627,222.6144561767578,40398300
2024-11-13,222.39605879884869,225.01703765642938,221.15506473467502,223.49806213378906,48566200
2024-11-14,223.3987876531247,227.2210402122622,223.3789275067786,226.5757293701172,44923900
2024-11-15,224.76882873863602,225.28508648780175,222.65418524957263,223.37892150878906,47923700
2024-11-18,223.62713486361545,228.08479108540536,223.54770942404784,226.37718200683594,44633700
2024-11-19,225.34467799276683,228.501774994788,225.02699136706502,226.63531494140625,36211800
2024-11-20,226.41689814964724,228.27342054954684,224.26253412411586,227.35012817382812,35169600
2024-11-21,227.230987838277,228.50176458087773,224.0838286281757,226.8735809326172,42108300
2024-11-22,226.4168797117104,229.05771868234922,226.4168797117104,228.21383666992188,38168300
2024-11-25,229.79240040372403,231.5694972757357,228.08479132337303,231.19223022460938,90152800
2024-11-26,231.6489234928732,233.87279036398945,231.6489234928732,233.366455078125,45986200
2024-11-27,232.78070364946953,233.99191506726265,232.12545514826604,233.2373809814453,33498400
2024-11-29,233.11825362062933,236.0966394139658,232.28430923421996,235.62010192871094,28481400
2024-12-02,235.5605532676808,239.0551819380818,235.45134517492735,237.86383056640625,48137100
2024-12-03,238.08222901174219,241.01097200063165,237.17878168890522,240.90176391601562,38861000
2024-12-04,241.12016455186688,242.3512360492442,239.51184118099928,241.2591552734375,44383900
2024-12-05,242.23213863223197,242.77816394602775,240.38553870781277,241.28897094726562,40033900
2024-12-06,241.1599112680226,242.86752040520184,240.33588934668637,241.0904083251953,36870600
2024-12-09,240.08769312504634,245.4587194212017,240.00826768189094,244.9722442626953,44649200
2024-12-10,245.11121388943334,246.4217108653419,243.57237825215392,245.98487854003906,36914800
2024-12-11,246.17352158557497,248.9930565140259,244.48575750906295,244.714111328125,45205800
2024-12-12,245.11122473397327,246.9479020514793,243.9099357862414,246.17352294921875,32777500
2024-12-13,246.0345210589055,247.49391610940148,244.46590277835176,246.34228515625,33155300
2024-12-16,246.20329464964811,249.56886987487528,245.86573275817128,249.23130798339844,51694800
2024-12-17,248.2782345553336,252.0012166921119,247.98039295462073,251.6537322998047,51356400
2024-12-18,250.3432367039591,252.44795764195715,245.95508381781758,246.26284790039062,56774100
2024-12-19,245.71683140567848,250.184410158509,245.3097817058068,247.99032592773438,60882300
2024-12-20,246.25295201238012,253.1628143156686,243.91989202858784,252.656494140625,147495300
2024-12-23,252.93448000183187,253.80812962394884,251.62398284537375,253.43087768554688,40858800
2024-12-24,253.64930053302467,256.34969006633503,253.4507293352449,256.33978271484375,23234700
2024-12-26,256.329771467171,258.2260137599804,255.77380863027113,257.1537780761719,27237100
2024-12-27,255.97238682838486,256.836144148833,251.2367643772991,253.74853515625,42355300
2024-12-30,250.41273247360002,251.67358663649517,248.94339979921563,250.38294982910156,35557500
2024-12-31,250.6212189481796,251.45516326793145,247.6328957457903,248.6157684326172,39480700
2025-01-02,247.1365264348607,247.3053149666319,240.07776640397734,242.0931396484375,55740700
2025-01-03,241.60665893554688,242.42074318433572,240.14724866814672,241.60665893554688,40244100
2025-01-06,242.5498168429892,245.54806288478193,241.4478134561986,243.23484802246094,45045600
2025-01-07,241.22939201717418,243.78088314896328,239.61114601786818,240.46495056152344,40856000
2025-01-08,240.17703689438372,241.9541489627904,238.32051453305579,240.951416015625,37628900
2025-01-10,238.28079154222544,238.4297199246896,231.32130202918376,235.14356994628906,61710900
2025-01-13,231.84748509521594,232.9792711307645,228.06493742769467,232.71121215820312,49630700
2025-01-14,233.05868390458076,234.41880854341963,230.7951119565212,231.59927368164062,39435300
2025-01-15,232.94947976770305,237.2383625727966,232.74098609709984,236.1562042236328,39832000
2025-01-16,235.63995285298606,236.29518618874627,226.38709407905125,226.6154327392578,71759100
2025-01-17,230.44764042021458,230.6164138035219,226.833866130533,228.32305908203125,68488300
2025-01-21,222.38615194982364,222.80312416686704,217.79944241349193,221.03594970703125,98070400
2025-01-22,218.2064751614249,222.5052806842356,218.2064751614249,222.21737670898438,64126500
2025-01-23,223.12078931433723,225.39428356119052,220.6983667044382,222.04856872558594,60234800
2025-01-24,223.160517277336,224.00439930767484,219.81480209957203,221.1749267578125,54697900
2025-01-27,222.40601266103107,230.47742834163907,222.36629236472388,228.2039337158203,94863400
2025-01-28,229.18679454547646,238.4594987479956,229.147074251248,236.54339599609375,75707600
2025-01-29,232.43321505583046,238.1318651456976,232.3240069742682,237.63546752929688,45486100
2025-01-30,236.95045561956258,239.05517683623282,235.50098294542886,235.87823486328125,55658300
2025-01-31,245.40904807772534,245.40904807772534,231.7581140684966,234.29966735839844,100959800
2025-02-03,228.33297872450572,230.15971829856622,224.0738787357251,226.3672332763672,73063300
2025-02-04,225.61271003037928,231.45035067549782,225.0170268486458,231.1227264404297,45067300
2025-02-05,226.88350440739822,230.99367626573292,226.625383087866,230.7951202392578,39620300
2025-02-06,229.62361584180033,232.11554171369926,228.7698112868805,231.5397186279297,29925300
2025-02-07,230.92416830424466,232.3140755170278,225.6226304523949,225.98997497558594,39707200
2025-02-10,228.16660736242451,229.1803610121675,225.81108525741098,226.25833129882812,33115600
2025-02-11,226.8049892187756,233.79201296403912,226.7354250213283,231.19796752929688,53718400
2025-02-12,229.7866449882993,235.5114431570428,229.2698195612854,235.42198181152344,45243300
2025-02-13,235.4617298072221,240.85852795215618,234.1299251101732,240.05348205566406,53614100
2025-02-14,239.77520922194773,244.0489258287467,239.5168040933544,243.104736328125,40896200
2025-02-18,242.65747382373942,243.6811760890431,240.3615975750387,242.97552490234375,48822500
2025-02-19,243.16438488450393,244.50612316801596,241.6735544591497,243.3730926513672,32204200
2025-02-20,243.44266597431312,245.27141427762965,242.79663037338946,244.3272247314453,32316900
2025-02-21,244.44646835255205,247.16972378813352,243.72093519653038,244.04891967773438,53197400
2025-02-24,243.43268408373555,247.33866705271078,242.92580728065096,245.5894317626953,51326400
2025-02-25,246.48393846255715,248.47171215983582,243.41283173998391,245.52980041503906,48013300
2025-02-26,242.83635669602367,243.48237703128345,237.66814851741972,238.890625,44433600
2025-02-27,237.94643641845556,240.97779411500133,235.61079643123784,235.84933471679688,41153600
2025-02-28,235.5014815283524,240.61005923211764,228.7927454203557,240.36158752441406,56833400
2025-03-03,240.31186830369816,242.53818006191796,234.66659889731284,236.57485961914062,47184000
2025-03-04,236.25684921580154,238.60242278275774,233.24535811530478,234.4877166748047,53798100
2025-03-05,233.98082285378285,235.1039197629907,227.82866128733946,234.2988739013672,47227600
2025-03-06,233.00682927336524,236.4059203890797,231.73465535282332,233.89138793945312,45170400
2025-03-07,233.67272217403436,239.8944479764648,233.3248557337566,237.6085205078125,46273600
2025-03-10,234.10011191080184,234.71633209649934,222.84932017741133,226.08938598632812,72071200
2025-03-11,222.44182022291236,224.45940937640347,216.12069905845206,219.48997497558594,76137400
2025-03-12,218.79423505763873,220.39439337943787,213.59621144659917,215.65354919433594,62547500
2025-03-13,214.62988404763396,215.51444282745413,207.14591651941646,208.39820861816406,61368300
2025-03-14,209.9585940343847,212.64208545758027,208.2988048386841,212.18490600585938,60107600
2025-03-17,212.00601857046763,213.90434624612,208.68643986463772,212.69180297851562,48073400
2025-03-18,212.8507852105428,213.8347233648863,210.1971094678613,211.3897705078125,42432400
