Date,Open,High,Low,Close,Volume
2024-09-24,161.9972041569506,162.18600293337994,159.67203168983335,161.2618865966797,23332100
2024-09-25,160.44710243338025,161.77861000791742,160.27818118844277,160.46697998046875,18869200
2024-09-26,162.6033354432936,163.0405504569987,161.25195047462518,161.6990966796875,20319300
2024-09-27,161.7786145898017,164.65030615932238,161.59976214731748,162.91139221191406,21101300
2024-09-30,162.2853907035285,165.09744958161895,162.22575806160205,164.7993621826172,20413900
2024-10-01,166.62770671794624,168.08839566011457,163.53740758234116,165.93214416503906,28338100
2024-10-02,165.3657609999376,166.45879878634457,163.68646438360673,164.80931091308594,17760200
2024-10-03,163.36849940346053,165.584368557219,162.88159799640147,164.80931091308594,15073100
2024-10-04,166.9953742029211,167.1642954706186,164.43171611961677,166.001708984375,19047400
2024-10-07,166.65751850550026,167.4126985535878,161.71900154638254,161.94754028320312,22463100
2024-10-08,162.901468985077,163.68645779124333,161.8382399845631,163.33868408203125,23072700
2024-10-09,162.4145490312399,163.7957428412033,158.72806019467495,160.83462524414062,31181800
2024-10-10,159.8509116423071,162.03698715416354,159.38388779769477,161.05325317382812,14144100
2024-10-11,161.10293319324816,162.86170956550862,160.21857182956228,162.20590209960938,15344300
2024-10-14,162.60337841595526,165.1769677351728,162.36489330123743,163.91502380371094,19016100
2024-10-15,164.7397308583214,166.61775729768382,163.58709086133464,164.41183471679688,20247200
2024-10-16,163.4877403209242,164.749699418007,162.70275145459712,164.11375427246094,16406000
2024-10-17,164.6801076327293,165.31605267037628,161.72892116495908,161.89784240722656,21453400
2024-10-18,162.1562421110617,163.66661760666548,162.04693832199573,162.38478088378906,19757700
2024-10-21,161.9177244301946,163.45790836208016,161.58981312891888,163.0306396484375,20946500
2024-10-22,161.9475365199372,164.71987068710104,161.9475365199372,164.09385681152344,16568100
2024-10-23,163.71624709624942,164.7695447784646,160.90417320390316,161.74879455566406,18280500
2024-10-24,161.7985127672051,162.295345386955,159.99003475349392,161.689208984375,22412500
2024-10-25,162.63316747166715,164.54100267206263,162.38475119304076,164.22303771972656,19828900
2024-10-28,167.68098784367282,167.68098784367282,162.91139226813863,165.66384887695312,32138600
2024-10-29,166.66744336321563,169.30066498158368,166.03149830422933,168.60508728027344,42169000
2024-10-30,179.5353953312524,180.86691803166593,172.95733750175077,173.3548126220703,68890800
2024-10-31,172.03323918990733,175.69986574053596,169.91672772946706,170.02603149414062,44769000
2024-11-01,168.9926071986616,171.22835336095886,167.81014346910678,170.20486450195312,31796500
2024-11-04,168.85349334018605,169.6484284063568,166.94565827865142,168.16787719726562,21492700
2024-11-05,168.35668494331603,169.4497227111904,167.77042612333224,168.66473388671875,18242100
2024-11-06,172.69899134986846,175.81909904785277,172.40088879790804,175.39181518554688,33695500
2024-11-07,176.2861274447148,179.93287650946746,176.06751991171046,179.60496520996094,25352900
2024-11-08,179.50558656989898,179.75400283427035,176.9518752564666,177.2201690673828,22006200
2024-11-11,177.44872793439595,179.40624953288767,177.33942415917616,179.20751953125,17450400
2024-11-12,178.68086684117154,181.33395085774214,178.25358296080182,180.46945190429688,25134900
2024-11-13,179.31680352847516,179.81363605883408,177.40895326922643,177.74681091308594,23184000
2024-11-14,177.15060502189382,177.68719264307913,173.21569988978717,174.46771240234375,31007500
2024-11-15,172.62942807176185,173.03683438867833,170.1353342086739,171.3972930908203,32504600
2024-11-18,172.3213885251699,174.32859614097288,171.80467846165004,174.18948364257812,20135300
2024-11-19,172.61950254558704,177.73687175049812,172.46051249052883,176.9916229248047,23434900
2024-11-20,176.2165430537402,176.55438550638053,172.67909816815515,174.8651580810547,18997100
2024-11-21,172.79835394534456,173.0269078339117,162.6629730093742,166.56808471679688,59734400
2024-11-22,164.79936934193785,165.40550568311707,162.8617101914929,163.7162628173828,38604600
2024-11-25,165.0378213787698,167.56173904858872,164.56086640923021,166.5879364013672,33135300
2024-11-26,166.5680936524055,168.74422275300518,166.5184073625678,168.04864501953125,20486700
2024-11-27,167.92942023182215,168.40637528649307,166.95563257291508,168.157958984375,19266500
2024-11-29,167.43255348682078,168.35665466444746,166.101046017883,167.87969970703125,14257200
2024-12-02,167.7008703464783,170.98989954223964,167.50214035040204,170.4036407470703,23789100
2024-12-03,170.40362122950918,171.58606987747282,169.7676762176285,170.2545623779297,22248700
2024-12-04,170.06577798333072,173.80196851105399,169.976351762093,173.265380859375,31615100
2024-12-05,174.24912670582898,174.94468929994056,171.23832242107443,171.54635620117188,21356200
2024-12-06,170.9402105427862,173.97089221181594,170.77128929069295,173.60324096679688,21462400
2024-12-09,173.05610866341627,175.34414569527965,172.74770667593938,174.45877075195312,25389600
2024-12-10,181.89990276575224,185.39165905883286,180.10925267461994,184.2078399658203,54813000
2024-12-11,184.34712093414166,194.59360484337623,183.88951960925283,194.3846893310547,67894100
2024-12-12,193.98676747620544,194.16582489848338,190.71386920648584,190.9625701904297,34817500
2024-12-13,190.01748306194702,191.7285469445743,188.65460660803555,188.83367919921875,25143500
2024-12-16,191.8678225512729,197.96597529078676,191.6191215772895,195.6381378173828,44934900
2024-12-17,196.22506444695088,200.37339478634232,193.96685539925252,194.40457153320312,43504000
2024-12-18,194.2056368053088,195.976386699195,186.764507184961,187.4210662841797,34166100
2024-12-19,190.63427019379503,192.0269895380088,187.40115762090377,187.5304718017578,32265200
2024-12-20,184.8146696474835,191.88772607244653,184.25758188521124,190.41542053222656,63462900
2024-12-23,191.6191324608379,194.08625719212253,189.16196548395996,193.6186981201172,25675000
2024-12-24,193.82759815006608,195.09100341796875,192.7731083908338,195.09100341796875,10403300
2024-12-26,194.13597478356786,195.72766709348628,193.36998671071595,194.58364868164062,12046600
2024-12-27,193.9370152813754,194.3051030426647,189.65935551931798,191.75839233398438,18891400
2024-12-30,188.81380244155494,191.54951344453465,188.13732782747584,190.24632263183594,14264700
2024-12-31,190.0871254076539,190.96255767118524,187.53047217416017,188.31637573242188,17466900
2025-01-02,189.65937128935172,191.00236272405684,186.52574484771176,188.44570922851562,20370800
2025-01-03,190.37561071207793,192.20606135937345,188.99283394745663,190.79342651367188,18596200
2025-01-06,192.9720631324044,197.19003728298551,192.8427489428689,195.8470458984375,29563600
2025-01-07,196.085805432373,199.95559215597262,193.5888530048973,194.47422790527344,26487200
2025-01-08,191.5693958945213,195.27005246800397,191.3803807232366,192.9422149658203,24864800
2025-01-10,193.29042686618294,195.49889303629848,189.32115330540665,191.0421600341797,26665200
2025-01-13,189.08238366148746,190.1866014129224,186.38645842630518,190.01748657226562,21823700
2025-01-14,190.24630678281764,190.98245196740993,187.33152340912505,188.6745147705078,17174900
2025-01-15,192.0866958313472,195.33970907887064,190.86309119272985,194.53392028808594,21776000
2025-01-16,193.1312278332848,194.46426141133438,191.8081368295779,191.90762329101562,17815400
2025-01-17,195.508827543568,196.20518730281572,192.74327365719543,194.98158264160156,27735100
2025-01-21,198.03563938794179,201.23889429991502,196.8418624454126,197.02093505859375,29971300
2025-01-22,198.02566579041408,199.43828553458843,196.5036170079127,197.33924865722656,26200600
2025-01-23,197.11045095911172,199.25923110054313,194.18572496319172,196.95127868652344,26951400
2025-01-24,197.07065618338206,199.85609492474924,196.9711697228321,199.16969299316406,23877500
2025-01-27,191.41022766272687,195.85700244066396,189.73894916830926,190.81333923339844,41728900
2025-01-28,191.7484490804529,194.4642594397363,189.6891977496922,194.2852020263672,24157900
2025-01-29,194.54385257803781,195.7674571519655,192.4249153665142,194.39463806152344,18218300
2025-01-30,196.97119600589963,200.35352360288593,196.64290885768258,199.82627868652344,24354700
2025-01-31,200.95037662702387,204.41228975627837,200.75141889398662,202.9598846435547,32001100
2025-02-03,199.64718455503106,202.69128186873195,199.0602539340499,200.1843719482422,27838300
2025-02-04,202.33319341484665,205.9741798502019,201.75620524917517,205.3076629638672,43856400
2025-02-05,190.0771871408914,191.74845039513906,187.05297480534406,190.33583068847656,70373900
2025-02-06,188.5153520057582,191.10184839531686,187.73940612479137,190.6044464111328,29297400
2025-02-07,190.05727440392732,190.1865885795256,182.28785893479736,184.37693786621094,49315000
2025-02-10,186.37653098919859,187.22210526115876,184.8942676002274,185.5010986328125,23105600
2025-02-11,184.06855404876913,185.96863303397024,183.32245116573748,184.3570556640625,21239500
2025-02-12,182.26795668372725,184.14813529190087,180.88517998437734,182.6559295654297,22072600
2025-02-13,183.36227049888035,185.3120777313061,182.18839394998832,185.1728057861328,21402500
2025-02-14,184.0984174978102,185.43145115453234,183.36227228593566,184.2675323486328,20448400
2025-02-18,184.63561754552705,184.99374757151398,180.79567372558517,182.81512451171875,29916700
2025-02-19,183.11356559747395,184.4963424448096,182.63604878465782,184.3073272705078,19549400
2025-02-20,183.83977159439488,184.34711614040583,181.77057757262898,183.60101318359375,20441500
2025-02-21,184.18795032658747,184.37696551099646,178.14949807767616,178.7264862060547,35199200
2025-02-24,181.04438722615922,182.16850543528213,177.9604887236702,178.31861877441406,29854200
2025-02-25,177.11489600513676,177.81127094293745,173.7823117406095,174.50851440429688,41913400
2025-02-26,174.1603418876601,175.16508845335508,170.68847049649932,171.83248901367188,35431300
2025-02-27,173.0859293485287,173.65295965631302,167.06736294980485,167.62445068359375,39991000
2025-02-28,167.80351036476668,169.7234897370402,165.90344649975822,169.39520263671875,48130600
2025-03-03,171.0366301036563,172.46915017235435,165.06780660374991,166.14219665527344,40770500
2025-03-04,165.3762007856933,172.3895559244155,164.9384846542463,170.03187561035156,45388000
2025-03-05,169.63396197807168,172.87701716435777,168.18154163334694,172.1209716796875,30954900
2025-03-06,169.64393238622674,173.90169247961578,169.61408947927114,171.45448303222656,28302000
2025-03-07,170.37010783184354,174.06083692312112,169.38526170085638,172.95660400390625,27385800
