Date,Open,High,Low,Close,Volume
2024-09-19,557.804786497104,559.6315359572782,554.9425530668651,557.7754516601562,75315500
2024-09-20,556.4096197933483,557.8500005367814,553.7933228326182,556.8113403320312,77503100
2024-09-23,557.8794446150124,558.8495067502496,556.6643550711399,558.2027587890625,44116900
2024-09-24,558.9964868304339,559.8587776289324,556.1744550910837,559.7999877929688,46805700
2024-09-25,559.6432009533316,560.378103761662,557.4580492681129,558.5653076171875,38428600
2024-09-26,562.8179934718497,563.1413674659622,558.428192996937,560.7798461914062,48336000
2024-09-27,561.8478858705382,562.6611352170194,558.9376397719122,559.9664916992188,42100900
2024-09-30,558.9377164538611,562.8180251821971,556.6448529649051,562.2105102539062,63557400
2024-10-01,561.8576367225866,562.5043247858904,554.6065728022052,557.173828125,72668800
2024-10-02,556.2823034605133,558.4282222492225,553.8914170466389,557.4091186523438,38097800
2024-10-03,555.9391307651414,558.3300163957163,554.1067783137431,556.389892578125,40846500
2024-10-04,560.828843806913,561.8185225581165,556.6643942780399,561.4461669921875,42939100
2024-10-07,559.7998460712181,560.4465939096317,555.2238688786401,556.3703002929688,49964700
2024-10-08,558.9376197622599,562.230029540932,558.0655806170524,561.6322631835938,37398700
2024-10-09,561.6224145456196,566.0808720947961,561.0247080377793,565.5223388671875,37912200
2024-10-10,564.1799758679994,565.9535388259317,562.9257131010544,564.53271484375,44138100
2024-10-11,564.4543586951436,568.6482329129351,564.3171624790748,567.913330078125,42268000
2024-10-14,569.520288010914,573.4888112745962,569.0401610478535,572.5579223632812,36217200
2024-10-15,572.8224268603595,573.1261842726946,566.8941634738084,568.1092529296875,54203600
2024-10-16,568.1093193754714,571.097912292803,567.3058184280349,570.5785522460938,30725400
2024-10-17,574.1158386665669,574.3216329805343,570.4413246734956,570.6275024414062,34393700
2024-10-18,572.3128969974695,573.6063330690159,570.8528997080355,572.8224487304688,37416800
2024-10-21,572.0973787445921,573.0772492638474,568.9127995570122,571.8818359375,36439000
2024-10-22,569.3536172092114,572.7341816541917,568.6971208640092,571.5779418945312,34183800
2024-10-23,569.5595423864669,570.0004960774122,562.8572017811279,566.3553466796875,49314600
2024-10-24,568.3052337104026,568.3836400907534,564.9639018539431,567.5801391601562,34979900
2024-10-25,569.8043437567766,572.6949728800472,566.4433960638868,567.384033203125,47268200
2024-10-28,570.8528957024953,570.9802836348513,568.8343651367928,569.1381225585938,30174700
